1;-1;-1;1334;1434
3;-1;-1;1337;1435
4;-1;-1;1336;1435
5;-1;-1;1336;1436
6;-1;-1;1336;1436
7;-1;-1;1335;1434
8;-1;-1;1336;1435
9;41;130;1335;1436
12;-1;-1;1336;1435
14;52;142;1336;1435
15;-1;-1;1336;1435
27;-1;-1;1336;1434
28;-1;-1;1335;1433
31;-1;-1;1336;1434
33;-1;-1;1344;1435
37;-1;-1;1336;1436
38;-1;-1;1336;1436
39;-1;-1;1336;1436
40;-1;-1;1348;1432
41;-1;-1;1336;1436
42;50;140;1337;1436
43;-1;-1;1338;1434
44;-1;-1;1321;1436
45;-1;-1;1336;1436
46;-1;-1;1337;1436
47;-1;-1;1337;1436
49;42;132;1336;1436
50;25;114;1303;1383
