1;-1;-1;1365;1443
3;-1;-1;1404;1459
4;-1;-1;1365;1445
7;-1;-1;1365;1443
8;-1;-1;1365;1443
10;-1;-1;1365;1443
11;-1;-1;1365;1443
12;-1;-1;1365;1443
13;-1;-1;1365;1443
14;-1;-1;1365;1442
16;-1;-1;1365;1439
18;-1;-1;1246;1276
19;-1;-1;1365;1440
21;-1;-1;1365;1443
22;-1;-1;1365;1439
23;-1;-1;1246;1276
24;-1;-1;1365;1443
25;58;119;1252;1282
26;-1;-1;1362;1443
27;-1;-1;1365;1443
28;-1;-1;1365;1443
29;-1;-1;1365;1445
30;-1;-1;1365;1443
31;-1;-1;1366;1445
33;0;133;-1;-1
34;-1;-1;1365;1445
36;-1;-1;1365;1445
41;-1;-1;1365;1445
42;-1;-1;1365;1445
43;-1;-1;1366;1445
45;-1;-1;1365;1445
46;-1;-1;1365;1445
48;-1;-1;1365;1445
49;-1;-1;1365;1445
50;-1;-1;1365;1445
51;-1;-1;1365;1445
