1;174;351;2899;2988
2;104;193;1398;1488
3;52;142;1399;1488
4;73;162;1399;1488
5;157;246;1399;1488
6;-1;-1;1395;1484
7;83;184;1395;1484
8;24;142;1394;1487
9;-1;-1;1396;1491
11;-1;-1;1395;1490
12;76;166;1400;1490
13;57;172;-1;-1
14;6;137;1397;1488
16;-1;-1;1397;1485
17;70;160;1396;1483
18;102;192;1394;1490
20;62;152;1396;1486
21;137;227;1395;1485
22;106;196;-1;-1
23;118;208;1399;1481
24;66;156;-1;-1
25;105;195;1394;1484
26;187;277;1395;1483
27;70;160;1396;1484
28;58;148;1396;1490
29;202;292;-1;-1
30;139;229;1394;1483
31;-1;-1;1395;1484
32;-1;-1;1395;1481
33;-1;-1;1395;1483
34;116;206;1395;1500
35;97;187;1395;1484
36;46;136;1391;1482
37;269;359;-1;-1
38;98;188;1403;1498
